MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
8589_CyanoOrg,CyanoOrg,627.27448,14.071,1.08E-04,6.36E-05,1.11E-05,0.001738685,0.001079652,1.15E-04,6.87E-04,6.91E-04,NA,1.66E-04,1.31E-04,6.48E-05
8590_CyanoOrg,CyanoOrg,627.27484,13.452,NA,NA,NA,5.53E-05,3.00E-05,NA,NA,NA,NA,NA,NA,NA
8592_CyanoOrg,CyanoOrg,627.37177,10.898,2.34E-05,3.28E-05,2.17E-05,7.00E-04,1.30E-04,3.26E-05,0.061779216,0.022896819,0.00436172,0.008502381,0.002668412,0.002218528
8593_CyanoOrg,CyanoOrg,627.37195,10.848,NA,NA,NA,NA,NA,NA,0.061779216,0.022896819,0.00436172,0.002299604,0.001106276,7.87E-04
8596_CyanoOrg,CyanoOrg,627.41064,12.05,NA,NA,NA,NA,NA,NA,0.014916078,0.007625903,0.002897796,NA,NA,NA
8597_CyanoOrg,CyanoOrg,627.41077,12.42,NA,NA,NA,NA,NA,NA,0.009266754,0.002278181,0.001328302,1.08E-04,NA,NA
8604_CyanoOrg,CyanoOrg,627.55035,14.32,NA,NA,NA,4.21E-05,4.08E-05,2.64E-06,NA,NA,NA,NA,NA,NA
8607_CyanoOrg,CyanoOrg,628.41199,13.593,4.88E-06,5.88E-06,5.55E-06,1.88E-05,1.92E-05,NA,NA,NA,NA,7.34E-05,1.70E-04,9.89E-05
8617_CyanoOrg,CyanoOrg,629.3877,10.587,2.75E-05,4.21E-05,2.18E-05,2.82E-04,8.58E-05,2.28E-05,0.018467333,0.004723989,0.001740511,0.00350401,7.92E-04,6.77E-04
8620_CyanoOrg,CyanoOrg,629.41992,13.602,3.89E-06,5.48E-06,4.76E-06,1.88E-05,2.20E-05,NA,NA,NA,NA,5.83E-04,9.38E-04,5.76E-04
8622_CyanoOrg,CyanoOrg,629.42017,13.699,NA,NA,NA,NA,NA,NA,4.37E-04,NA,NA,9.09E-04,0.001519744,0.001045728
8623_CyanoOrg,CyanoOrg,629.42572,12.313,NA,NA,NA,NA,NA,NA,0.006254248,0.00318556,8.89E-04,4.75E-05,NA,NA
8624_CyanoOrg,CyanoOrg,629.42615,11.126,4.81E-06,6.30E-06,3.35E-06,5.82E-05,1.46E-05,2.95E-06,0.003853176,0.001104582,5.07E-04,0.001151508,5.00E-04,3.57E-04
8625_CyanoOrg,CyanoOrg,629.42621,12.667,NA,NA,NA,NA,NA,NA,0.035882702,0.012878143,0.004558547,0.001237803,1.28E-04,1.34E-04
8626_CyanoOrg,CyanoOrg,629.47418,11.056,5.26E-04,5.05E-04,7.46E-04,NA,NA,NA,0.103706039,0.030337466,0.040479973,4.14E-04,2.79E-04,2.26E-04
8627_CyanoOrg,CyanoOrg,629.4743,11.163,0.001349864,0.001149566,0.00166335,NA,NA,NA,0.254501725,0.080529596,0.114342204,0.001062091,6.21E-04,5.03E-04
8629_CyanoOrg,CyanoOrg,629.5661,15.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005626487,0.008010544,0.004556407
8630_CyanoOrg,CyanoOrg,630.17401,12.81,7.21E-06,3.18E-06,4.56E-06,3.01E-05,4.88E-05,2.87E-06,NA,NA,NA,NA,NA,NA
8640_CyanoOrg,CyanoOrg,631.40564,11.244,1.61E-05,1.81E-05,1.26E-05,1.18E-04,6.23E-05,1.33E-05,0.015965922,0.005469326,0.001669247,0.003756015,0.001358712,0.00103288
8642_CyanoOrg,CyanoOrg,631.48975,11.317,0.00179089,6.46E-04,5.50E-04,1.77E-05,NA,4.30E-06,0.265662802,0.074340162,0.14920997,0.005366903,6.82E-04,0.004353926
8644_CyanoOrg,CyanoOrg,631.58197,14.825,NA,NA,NA,1.15E-04,1.19E-04,NA,NA,NA,NA,0.001716081,0.003442428,0.001932157
8647_CyanoOrg,CyanoOrg,632.15369,11.596,0.001682109,0.001204827,0.001361041,0.004156892,0.008191978,8.00E-04,NA,NA,NA,NA,NA,NA
8651_CyanoOrg,CyanoOrg,632.4068,13.52,NA,NA,NA,1.61E-05,NA,NA,0.005064039,6.25E-04,0.001370081,4.34E-04,5.81E-04,2.96E-04
8652_CyanoOrg,CyanoOrg,632.40778,13.368,NA,3.00E-06,4.06E-06,3.04E-05,3.01E-05,NA,0.008522941,0.001084852,0.002855511,8.84E-04,0.001508544,8.35E-04
8656_CyanoOrg,CyanoOrg,632.47351,11.708,4.25E-04,3.10E-04,3.33E-04,NA,3.17E-05,1.54E-05,0.024624431,0.011001051,0.012670833,NA,NA,NA
8664_CyanoOrg,CyanoOrg,633.41492,13.188,NA,NA,NA,NA,NA,NA,0.01473098,0.00118814,0.002969651,0.002848508,0.00450456,0.001931136
8665_CyanoOrg,CyanoOrg,633.41492,13.117,NA,NA,NA,NA,NA,NA,0.007777647,0.001460485,0.001962339,0.002183355,0.003189356,0.001820102
8666_CyanoOrg,CyanoOrg,633.41498,13.522,NA,5.95E-06,NA,4.08E-05,NA,NA,0.008994,0.001189191,0.002131989,0.002050985,0.003721248,0.002076864
8667_CyanoOrg,CyanoOrg,633.41522,13.368,5.38E-06,6.66E-06,4.78E-06,3.47E-05,5.79E-05,4.96E-06,0.01167218,0.001054083,0.004085802,0.00376607,0.005796668,0.002832963
8676_CyanoOrg,CyanoOrg,635.25018,13.328,1.55E-05,8.39E-06,1.40E-05,1.34E-05,4.77E-05,2.87E-06,0.003258275,8.73E-04,0.001514973,NA,NA,NA
8677_CyanoOrg,CyanoOrg,635.25085,13.762,NA,NA,NA,NA,NA,NA,0.003414784,7.47E-04,8.52E-04,NA,NA,NA
8689_CyanoOrg,CyanoOrg,636.43195,12.267,NA,NA,NA,NA,NA,NA,0.021318627,0.010317601,0.003103817,7.74E-04,3.22E-04,2.48E-04
8690_CyanoOrg,CyanoOrg,636.43231,11.122,2.52E-04,1.55E-04,1.65E-04,0.001329387,7.22E-04,1.17E-04,0.106336745,0.048149838,0.024203065,0.027440736,0.007866644,0.007762167
8693_CyanoOrg,CyanoOrg,637.22992,12.262,1.18E-04,7.82E-05,4.43E-05,4.23E-04,2.72E-04,2.06E-05,NA,NA,NA,9.26E-04,0.001811392,5.94E-04
8694_CyanoOrg,CyanoOrg,637.26605,12.737,5.59E-05,1.01E-05,7.14E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
8695_CyanoOrg,CyanoOrg,637.26605,13.145,0.001137806,3.71E-04,4.24E-04,6.29E-05,2.03E-04,1.52E-05,NA,NA,NA,NA,NA,NA
8696_CyanoOrg,CyanoOrg,637.26605,13.219,3.40E-04,1.24E-04,1.24E-04,5.76E-05,5.88E-05,8.18E-06,NA,NA,NA,NA,NA,NA
8697_CyanoOrg,CyanoOrg,637.26611,12.606,2.25E-04,1.05E-04,1.07E-04,6.38E-05,1.02E-04,NA,NA,NA,NA,NA,NA,NA
8698_CyanoOrg,CyanoOrg,637.26923,12.138,NA,NA,NA,NA,NA,NA,0.002699255,0.001017089,0.003183199,5.61E-04,2.10E-04,1.87E-04
8701_CyanoOrg,CyanoOrg,637.37103,11.713,NA,NA,NA,NA,NA,NA,0.01789702,0.008355768,0.002508011,7.30E-04,7.26E-05,4.66E-05
8705_CyanoOrg,CyanoOrg,638.19495,14.32,NA,NA,NA,NA,6.61E-06,6.26E-06,NA,NA,NA,1.70E-04,2.93E-04,NA
8712_CyanoOrg,CyanoOrg,638.55103,14.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003094323,0.00413191,0.003435786
8716_CyanoOrg,CyanoOrg,639.39581,9.967,NA,NA,NA,NA,NA,NA,0.004671686,NA,NA,0.001168091,2.58E-04,1.85E-04
8721_CyanoOrg,CyanoOrg,640.27966,12.193,NA,NA,NA,NA,NA,NA,0.005131608,0.001750458,0.002843414,4.07E-04,2.12E-04,1.86E-04
8729_CyanoOrg,CyanoOrg,641.23804,13.494,1.91E-04,6.94E-05,6.06E-05,3.93E-05,8.84E-05,2.85E-06,NA,NA,NA,NA,NA,NA
8731_CyanoOrg,CyanoOrg,641.29987,10.781,NA,NA,NA,NA,NA,NA,0.003788,6.00E-04,0.001873925,7.50E-04,3.23E-04,4.36E-04
8732_CyanoOrg,CyanoOrg,641.38788,11.124,1.95E-04,1.34E-04,1.38E-04,0.001578527,5.03E-04,7.86E-05,0.190935059,0.091270889,0.023489059,0.029670822,0.013009148,0.012786701
